card_name,f1,f1_sig_strike_per,f1_sig_strike_total,f1_td_attempt,f1_td_succeed,f2,f2_sig_strike_per,f2_sig_strike_total,f2_td_attempt,f2_td_succeed,fights_location,round_format,round_fought,weight_class,winner,winning_method,fight_year,SApM_f1,SLpM_f1,height_f1,reach_f1,stance_f1,strAcc_f1,strDef_f1,subAvg_f1,tdAcc_f1,tdAvg_f1,tdDef_f1,weight_f1,born_year_f1,win_f1,lose_f1,draw_f1,nc_f1,SApM_f2,SLpM_f2,height_f2,reach_f2,stance_f2,strAcc_f2,strDef_f2,subAvg_f2,tdAcc_f2,tdAvg_f2,tdDef_f2,weight_f2,born_year_f2,win_f2,lose_f2,draw_f2,nc_f2,f1_age_when_fight,f2_age_when_fight
UFC Fight Night: Santos vs. Teixeira,Gustavo Lopez,0.6,43,3,2,Anthony Birchak,0.42,40,0,0,"Las Vegas, Nevada, USA",3,1,Bantamweight,1,SUB,2020,4.65,2.24,165.1,67.0,Orthodox,0.41,0.51,0.5,0.5,1.07,0.27,135,1989,12,6,0,0,3.67,3.93,172.72,69.0,Orthodox,0.36,0.56,0.5,0.14,0.48,0.61,135,1986,16,8,0,0,31,34
UFC Fight Night: Hall vs. Silva,Jason Witt,0.2,5,0,0,Cole Williams,0.64,31,3,2,"Las Vegas, Nevada, USA",3,2,Welterweight,1,SUB,2020,3.1,2.63,177.8,70.0,Orthodox,0.49,0.5,1.3,0.45,6.46,1.0,170,1986,19,7,0,0,5.34,0.31,182.88,73.0,Orthodox,0.27,0.23,0.0,0.0,0.0,0.25,170,1983,11,3,0,0,34,37
UFC Fight Night: Hall vs. Silva,Justin Ledet,0.57,38,0,0,Dustin Jacoby,0.32,31,0,0,"Las Vegas, Nevada, USA",3,1,Light Heavyweight,0,KO/TKO,2020,4.82,3.35,193.04,80.0,Orthodox,0.39,0.49,0.2,0.5,0.23,0.42,205,1988,9,4,0,1,3.36,4.32,190.5,76.0,Orthodox,0.49,0.58,0.0,0.4,0.35,0.58,205,1988,15,5,1,0,32,32
UFC Fight Night: Hall vs. Silva,Miles Johns,0.45,105,7,0,Kevin Natividad,0.24,137,1,0,"Las Vegas, Nevada, USA",3,3,Bantamweight,1,KO/TKO,2020,2.5,4.03,170.18,66.0,Orthodox,0.53,0.71,0.0,0.3,0.99,0.92,135,1994,12,1,0,0,4.02,2.63,167.64000000000001,70.0,Orthodox,0.24,0.54,0.0,0.0,0.0,1.0,145,1993,9,3,0,0,26,27
UFC 255: Figueiredo vs. Perez,Louis Cosce,0.48,206,9,1,Sasha Palatnikov,0.52,237,1,1,"Las Vegas, Nevada, USA",3,3,Welterweight,0,KO/TKO,2020,9.3,8.22,175.26,71.0,Orthodox,0.48,0.48,0.0,0.11,1.07,0.0,170,1995,7,1,0,0,5.44,6.69,185.42,72.0,Switch,0.53,0.52,0.0,1.0,0.72,0.7,170,1989,6,4,0,0,25,31
UFC 255: Figueiredo vs. Perez,Dustin Stoltzfus,0.52,122,7,2,Kyle Daukaus,0.5,63,7,0,"Las Vegas, Nevada, USA",3,3,Middleweight,0,U-DEC,2020,4.0,3.68,182.88,75.0,Orthodox,0.41,0.46,0.5,0.09,0.48,0.5,185,1991,13,3,0,0,2.72,3.23,190.5,76.0,Southpaw,0.53,0.39,1.2,0.29,1.75,0.85,185,1993,10,2,0,0,29,27
UFC 255: Figueiredo vs. Perez,Daniel Rodriguez,0.41,199,2,0,Nicolas Dalby,0.34,147,7,0,"Las Vegas, Nevada, USA",3,3,Welterweight,0,U-DEC,2020,5.38,8.06,185.42,74.0,Southpaw,0.5,0.57,0.2,0.55,0.84,0.76,170,1986,16,2,0,0,3.56,3.26,180.34,74.0,Orthodox,0.38,0.54,0.0,0.29,1.25,0.65,170,1984,19,4,1,2,34,36
UFC 256: Figueiredo vs. Moreno,Tecia Torres,0.5,103,1,1,Sam Hughes,0.37,53,1,0,"Las Vegas, Nevada, USA",3,1,Women's Strawweight,1,KO/TKO,2020,3.61,4.71,154.94,60.0,Orthodox,0.48,0.6,0.1,0.15,0.71,0.58,115,1989,13,5,0,0,6.8,3.45,165.1,64.0,Orthodox,0.54,0.4,0.0,0.0,0.0,0.44,115,1992,5,3,0,0,31,28
UFC 256: Figueiredo vs. Moreno,Billy Quarantillo,0.63,166,13,7,Gavin Tucker,0.47,178,3,0,"Las Vegas, Nevada, USA",3,3,Featherweight,0,U-DEC,2020,4.33,7.08,177.8,70.0,Orthodox,0.64,0.43,1.7,0.34,1.66,0.57,145,1988,16,3,0,0,4.28,4.39,167.64000000000001,66.0,Southpaw,0.45,0.57,1.5,0.42,2.98,0.53,145,1986,13,2,0,0,32,34
UFC 255: Figueiredo vs. Perez,Jared Gooden,0.5,331,1,0,Alan Jouban,0.47,210,1,1,"Las Vegas, Nevada, USA",3,3,Welterweight,0,U-DEC,2020,7.55,5.04,182.88,77.0,Orthodox,0.42,0.49,0.0,1.0,0.96,0.83,170,1993,18,6,0,0,3.77,5.67,182.88,73.0,Southpaw,0.5,0.6,0.3,0.44,0.51,0.58,170,1981,17,7,0,0,27,39
UFC 256: Figueiredo vs. Moreno,Renato Moicano,0.4,37,1,0,Rafael Fiziev,0.6,35,1,0,"Las Vegas, Nevada, USA",3,1,Lightweight,0,KO/TKO,2020,3.43,5.12,180.34,72.0,Orthodox,0.47,0.65,0.7,0.6,1.96,0.78,155,1989,15,4,1,0,5.76,5.34,172.72,71.0,Switch,0.52,0.5,0.0,0.5,0.59,1.0,155,1993,10,1,0,0,31,27
UFC 256: Figueiredo vs. Moreno,Chase Hooper,0.48,117,6,0,Peter Barrett,0.55,87,0,0,"Las Vegas, Nevada, USA",3,3,Featherweight,1,SUB,2020,3.79,3.87,185.42,74.0,Southpaw,0.46,0.36,2.2,0.18,0.96,0.5,145,1999,10,2,1,0,4.32,4.18,177.8,73.0,Southpaw,0.61,0.42,0.0,0.22,1.39,0.66,145,1986,11,5,0,0,21,34
UFC Fight Night: Holloway vs. Kattar,Jacob Kilburn,0.31,201,18,1,Austin Lingo,0.52,182,2,1,"Abu Dhabi, Abu Dhabi, United Arab Emirates",3,3,Featherweight,0,U-DEC,2021,6.78,2.56,175.26,72.0,Orthodox,0.33,0.35,0.5,0.05,0.51,0.2,145,1995,8,4,0,0,3.82,4.0,177.8,70.0,Orthodox,0.42,0.58,0.0,0.66,0.67,0.8,145,1994,9,1,0,0,26,27
UFC 256: Figueiredo vs. Moreno,Daniel Pineda,0.69,66,1,1,Cub Swanson,0.46,45,2,1,"Las Vegas, Nevada, USA",3,2,Featherweight,0,KO/TKO,2020,2.97,3.35,170.18,69.0,Orthodox,0.48,0.45,1.6,0.22,1.42,0.42,145,1985,27,14,0,3,3.66,4.63,172.72,70.0,Orthodox,0.5,0.6,0.5,0.51,1.08,0.6,145,1983,27,12,0,0,35,37
UFC Fight Night: Holloway vs. Kattar,Sarah Moras,0.22,200,1,0,Vanessa Melo,0.33,169,0,0,"Abu Dhabi, Abu Dhabi, United Arab Emirates",3,3,Women's Bantamweight,0,U-DEC,2021,3.58,2.28,170.18,67.0,Orthodox,0.34,0.5,0.8,0.21,0.67,0.33,135,1988,6,8,0,0,6.13,3.48,165.1,65.0,Orthodox,0.3,0.59,0.0,0.0,0.0,0.71,135,1988,11,8,0,0,33,33
UFC Fight Night: Holloway vs. Kattar,Carlos Felipe,0.54,142,1,0,Justin Tafa,0.58,148,2,0,"Abu Dhabi, Abu Dhabi, United Arab Emirates",3,3,Heavyweight,1,S-DEC,2021,5.62,4.88,182.88,75.0,Orthodox,0.46,0.5,0.0,0.0,0.0,0.72,245,1995,11,1,0,0,6.12,5.15,182.88,74.0,Southpaw,0.55,0.49,0.0,0.0,0.0,1.0,264,1993,4,3,0,0,26,28
UFC Fight Night: Holloway vs. Kattar,David Zawada,0.38,114,1,1,Ramazan Emeev,0.52,101,9,4,"Abu Dhabi, Abu Dhabi, United Arab Emirates",3,3,Welterweight,0,S-DEC,2021,4.54,3.84,182.88,75.0,Orthodox,0.41,0.55,1.7,0.33,0.97,0.57,170,1990,17,7,0,0,1.98,2.5,177.8,76.0,Southpaw,0.45,0.66,0.5,0.29,2.33,0.66,170,1987,20,4,0,0,31,34
UFC Fight Night: Chiesa vs. Magny,Manon Fiorot,0.2,81,1,0,Victoria Leonardo,0.53,100,1,1,"Abu Dhabi, Abu Dhabi, United Arab Emirates",3,2,Women's Flyweight,1,KO/TKO,2021,1.98,8.0,170.18,65.0,Orthodox,0.5,0.8,0.0,1.0,1.75,1.0,125,1990,7,1,0,0,5.14,3.71,165.1,64.0,Orthodox,0.41,0.45,0.0,0.27,1.56,0.66,125,1990,8,5,0,0,31,31
UFC Fight Night: Chiesa vs. Magny,Umar Nurmagomedov,0.6,41,11,5,Sergey Morozov,0.23,30,0,0,"Abu Dhabi, Abu Dhabi, United Arab Emirates",3,2,Bantamweight,1,SUB,2021,0.81,2.89,172.72,70.0,Orthodox,0.6,0.76,1.7,0.45,8.67,0.0,135,1996,13,0,0,0,2.45,2.41,167.64000000000001,67.0,Orthodox,0.42,0.64,0.0,0.37,3.81,0.58,135,1989,17,4,0,0,25,32
UFC Fight Night: Chiesa vs. Magny,Mike Davis,0.52,207,9,3,Mason Jones,0.37,313,4,1,"Abu Dhabi, Abu Dhabi, United Arab Emirates",3,3,Lightweight,1,U-DEC,2021,6.76,6.24,182.88,72.0,Orthodox,0.53,0.57,0.0,0.33,1.39,0.69,145,1992,9,2,0,0,5.31,7.33,177.8,74.0,Orthodox,0.4,0.5,0.0,0.42,2.02,0.76,155,1995,10,1,0,1,29,26
UFC Fight Night: Chiesa vs. Magny,Jerome Rivera,0.54,53,6,4,Francisco Figueiredo,0.23,134,5,0,"Abu Dhabi, Abu Dhabi, United Arab Emirates",3,3,Flyweight,0,U-DEC,2021,2.6,3.21,177.8,72.0,Southpaw,0.33,0.51,0.0,0.0,0.0,0.4,125,1995,10,6,0,0,2.57,1.9,167.64000000000001,68.0,Southpaw,0.58,0.64,0.0,0.75,3.0,0.87,135,1989,12,4,1,1,26,32
UFC Fight Night: Chiesa vs. Magny,Dalcha Lungiambula,0.44,65,2,1,Markus Perez,0.51,49,1,0,"Abu Dhabi, Abu Dhabi, United Arab Emirates",3,3,Middleweight,1,U-DEC,2021,3.91,2.97,172.72,76.0,Orthodox,0.43,0.54,0.0,0.46,2.05,0.75,185,1987,11,3,0,0,3.72,2.6,185.42,73.0,Orthodox,0.47,0.52,1.0,0.25,0.81,0.77,185,1988,12,5,0,0,34,33
UFC Fight Night: Chiesa vs. Magny,Su Mudaerji,0.39,127,0,0,Zarrukh Adashev,0.22,123,1,0,"Abu Dhabi, Abu Dhabi, United Arab Emirates",3,3,Flyweight,1,U-DEC,2021,2.19,4.49,172.72,72.0,Southpaw,0.51,0.68,0.8,1.0,0.4,0.77,125,1996,14,4,0,0,2.91,3.54,165.1,65.0,Southpaw,0.39,0.65,0.5,0.0,0.0,1.0,125,1992,4,3,0,0,25,29
UFC Fight Night: Chiesa vs. Magny,Ricky Simon,0.53,32,10,7,Gaetano Pirrello,0.42,14,0,0,"Abu Dhabi, Abu Dhabi, United Arab Emirates",3,2,Bantamweight,1,SUB,2021,3.13,3.08,167.64000000000001,69.0,Orthodox,0.42,0.64,0.4,0.54,6.93,0.72,135,1992,18,3,0,0,1.89,0.67,170.18,69.0,Orthodox,0.42,0.46,0.0,0.0,0.0,0.3,135,1992,15,6,1,0,29,29
UFC Fight Night: Chiesa vs. Magny,Omari Akhmedov,0.65,38,5,2,Tom Breese,0.25,4,1,0,"Abu Dhabi, Abu Dhabi, United Arab Emirates",3,2,Middleweight,1,SUB,2021,2.84,2.97,182.88,73.0,Orthodox,0.34,0.55,0.2,0.45,2.58,0.65,185,1987,21,6,1,0,2.81,3.34,190.5,73.0,Southpaw,0.5,0.6,1.1,0.0,0.0,0.7,185,1991,12,3,0,0,34,30
UFC Fight Night: Chiesa vs. Magny,Matt Schnell,0.39,214,0,0,Tyson Nam,0.3,193,0,0,"Abu Dhabi, Abu Dhabi, United Arab Emirates",3,3,Flyweight,1,S-DEC,2021,4.17,4.23,172.72,70.0,Orthodox,0.38,0.59,1.0,0.33,0.39,0.5,125,1990,15,6,0,0,5.69,3.64,170.18,68.0,Orthodox,0.31,0.64,0.0,0.0,0.0,1.0,125,1983,20,12,1,0,31,38
UFC Fight Night: Chiesa vs. Magny,Douglas Silva de Andrade,0.41,115,4,1,Lerone Murphy,0.36,108,2,1,"Abu Dhabi, Abu Dhabi, United Arab Emirates",3,3,Featherweight,0,U-DEC,2021,4.26,3.77,170.18,68.0,Orthodox,0.38,0.58,0.0,0.5,0.7,0.66,145,1985,26,4,0,1,2.07,2.86,175.26,73.0,Orthodox,0.42,0.63,0.9,0.33,0.87,0.41,145,1991,10,0,1,0,36,30
UFC Fight Night: Chiesa vs. Magny,Ike Villanueva,0.42,56,0,0,Vinicius Moreira,0.57,42,0,0,"Abu Dhabi, Abu Dhabi, United Arab Emirates",3,2,Light Heavyweight,1,KO/TKO,2021,7.88,4.28,185.42,73.0,Orthodox,0.41,0.36,0.0,1.0,0.79,0.0,205,1984,18,12,0,0,5.07,3.15,193.04,76.0,Orthodox,0.59,0.43,1.3,0.18,1.97,0.0,205,1989,9,5,0,0,37,32
UFC Fight Night: Chiesa vs. Magny,Viviane Araujo,0.25,184,5,0,Roxanne Modafferi,0.43,198,4,4,"Abu Dhabi, Abu Dhabi, United Arab Emirates",3,3,Women's Flyweight,1,U-DEC,2021,5.48,5.14,162.56,68.0,Orthodox,0.47,0.59,0.3,0.6,2.1,0.94,125,1986,10,3,0,0,5.03,3.13,170.18,69.0,Orthodox,0.3,0.53,0.1,0.23,1.42,0.3,125,1982,25,19,0,0,35,39
UFC Fight Night: Chiesa vs. Magny,Neil Magny,0.46,52,6,4,Michael Chiesa,0.24,50,3,1,"Abu Dhabi, Abu Dhabi, United Arab Emirates",5,5,Welterweight,0,U-DEC,2021,2.06,3.67,190.5,80.0,Orthodox,0.46,0.56,0.3,0.42,2.44,0.57,170,1987,25,9,0,0,1.72,1.87,185.42,75.0,Southpaw,0.4,0.54,1.1,0.53,3.62,0.68,170,1987,18,5,0,0,34,34
UFC Fight Night: Chiesa vs. Magny,Mounir Lazzez,0.8,21,1,1,Warlley Alves,1.0,2,0,0,"Abu Dhabi, Abu Dhabi, United Arab Emirates",3,1,Welterweight,0,KO/TKO,2021,4.78,5.69,185.42,76.0,Orthodox,0.55,0.45,0.0,1.0,3.41,0.6,170,1987,10,2,0,0,3.63,3.07,180.34,72.0,Orthodox,0.48,0.51,1.1,0.52,1.42,0.78,170,1991,15,5,0,0,34,30
UFC Fight Night: Holloway vs. Kattar,Santiago Ponzinibbio,0.61,18,0,0,Li Jingliang,0.42,50,0,0,"Abu Dhabi, Abu Dhabi, United Arab Emirates",3,1,Welterweight,0,KO/TKO,2021,4.38,4.65,182.88,73.0,Orthodox,0.4,0.63,0.0,0.36,0.46,0.6,170,1986,29,4,0,0,3.65,4.52,182.88,71.0,Orthodox,0.42,0.59,0.0,0.39,1.28,0.59,170,1988,18,6,0,0,35,33
UFC Fight Night: Holloway vs. Kattar,Joselyne Edwards,0.44,129,2,1,Wu Yanan,0.49,178,3,0,"Abu Dhabi, Abu Dhabi, United Arab Emirates",3,3,Women's Bantamweight,1,U-DEC,2021,3.83,4.2,172.72,70.0,Orthodox,0.53,0.46,0.5,0.16,0.5,0.37,135,1995,10,3,0,0,4.82,4.51,172.72,66.0,Orthodox,0.45,0.51,0.3,0.22,0.61,0.66,125,1996,11,4,0,0,26,25
UFC Fight Night: Holloway vs. Kattar,Max Holloway,0.59,744,1,0,Calvin Kattar,0.47,283,2,0,"Abu Dhabi, Abu Dhabi, United Arab Emirates",5,5,Featherweight,1,U-DEC,2021,4.58,7.26,180.34,69.0,Orthodox,0.46,0.6,0.3,0.71,0.21,0.84,145,1991,22,6,0,0,8.16,5.07,180.34,72.0,Orthodox,0.42,0.5,0.0,0.3,0.37,0.89,145,1988,22,5,0,0,30,33
UFC Fight Night: Holloway vs. Kattar,Matt Brown,0.44,88,4,2,Carlos Condit,0.75,37,6,1,"Abu Dhabi, Abu Dhabi, United Arab Emirates",3,3,Welterweight,0,U-DEC,2021,2.68,3.68,182.88,75.0,Orthodox,0.54,0.55,1.4,0.44,1.52,0.64,170,1981,25,18,0,0,2.67,3.66,187.96,75.0,Orthodox,0.39,0.55,1.0,0.46,0.59,0.38,170,1984,32,14,0,0,40,37
UFC Fight Night: Holloway vs. Kattar,Punahele Soriano,0.45,66,1,0,Dusko Todorovic,0.38,57,0,0,"Abu Dhabi, Abu Dhabi, United Arab Emirates",3,1,Middleweight,1,KO/TKO,2021,4.2,4.44,180.34,72.0,Southpaw,0.43,0.54,0.0,0.66,1.58,1.0,185,1992,8,1,0,0,5.18,5.71,185.42,74.0,Orthodox,0.54,0.48,0.0,0.05,0.35,0.5,185,1994,10,2,0,0,29,27
UFC Fight Night: Holloway vs. Kattar,Joaquin Buckley,0.13,22,0,0,Alessio Di Chirico,0.52,23,0,0,"Abu Dhabi, Abu Dhabi, United Arab Emirates",3,1,Middleweight,0,KO/TKO,2021,5.46,4.58,177.8,76.0,Southpaw,0.36,0.51,0.0,0.16,0.6,1.0,185,1994,12,4,0,0,3.24,3.3,182.88,74.0,Orthodox,0.41,0.62,0.0,0.45,1.62,0.83,185,1989,13,6,0,0,27,32
UFC Fight Night: Overeem vs. Volkov,Ode Osbourne,0.83,6,0,0,Jerome Rivera,0.66,3,0,0,"Las Vegas, Nevada, USA",3,1,Featherweight,1,KO/TKO,2021,3.4,4.12,170.18,73.0,Southpaw,0.52,0.39,1.2,1.0,1.19,0.66,125,1992,9,4,0,1,2.6,3.21,177.8,72.0,Southpaw,0.33,0.51,0.0,0.0,0.0,0.4,125,1995,10,6,0,0,29,26
UFC Fight Night: Overeem vs. Volkov,Timur Valiev,0.72,76,6,4,Martin Day,0.28,28,0,0,"Las Vegas, Nevada, USA",3,3,Featherweight,1,U-DEC,2021,2.79,5.35,167.64000000000001,67.0,Orthodox,0.55,0.5,0.0,0.33,1.62,0.5,135,1990,18,2,0,1,3.79,3.97,177.8,73.0,Orthodox,0.45,0.53,0.5,0.6,0.72,0.65,145,1988,8,6,0,0,31,33
UFC Fight Night: Overeem vs. Volkov,Danilo Marques,0.66,24,0,0,Mike Rodriguez,1.0,29,7,4,"Las Vegas, Nevada, USA",3,2,Light Heavyweight,1,SUB,2021,1.88,1.56,198.12,77.0,Orthodox,0.79,0.56,0.8,0.28,4.26,0.0,205,1985,11,3,0,0,3.39,4.61,193.04,82.0,Southpaw,0.59,0.4,0.0,0.0,0.0,0.41,205,1988,11,6,0,1,36,33
UFC Fight Night: Overeem vs. Volkov,Lara Procopio,0.78,47,0,0,Molly McCann,0.62,58,9,7,"Las Vegas, Nevada, USA",3,3,Women's Flyweight,1,U-DEC,2021,6.5,5.64,162.56,67.0,Orthodox,0.58,0.47,0.3,0.47,3.15,0.5,125,1995,7,2,0,0,4.87,5.67,162.56,62.0,Orthodox,0.49,0.65,0.6,0.32,1.7,0.34,125,1990,11,4,0,0,26,31
UFC Fight Night: Overeem vs. Volkov,Youssef Zalal,0.37,109,3,2,SeungWoo Choi,0.48,47,9,3,"Las Vegas, Nevada, USA",3,3,Featherweight,0,U-DEC,2021,1.74,2.51,177.8,72.0,Switch,0.5,0.64,1.2,0.29,2.33,0.56,145,1996,10,5,0,0,2.55,3.31,182.88,74.0,Orthodox,0.41,0.46,0.0,0.57,1.0,0.66,145,1992,10,3,0,0,25,29
UFC Fight Night: Overeem vs. Volkov,Devonte Smith,0.52,65,1,1,Justin Jaynes,0.4,27,2,0,"Las Vegas, Nevada, USA",3,2,Catch Weight,1,KO/TKO,2021,2.65,5.64,175.26,76.0,Orthodox,0.55,0.59,0.7,1.0,0.74,1.0,155,1993,11,2,0,0,5.33,3.34,170.18,68.0,Orthodox,0.44,0.62,1.1,0.4,0.75,0.2,145,1989,16,8,0,0,28,32
UFC Fight Night: Overeem vs. Volkov,Joselyne Edwards,0.67,84,6,4,Karol Rosa,0.64,59,3,1,"Las Vegas, Nevada, USA",3,3,Women's Bantamweight,0,U-DEC,2021,3.83,4.2,172.72,70.0,Orthodox,0.53,0.46,0.5,0.16,0.5,0.37,135,1995,10,3,0,0,5.51,7.73,165.1,67.0,Orthodox,0.52,0.48,0.0,0.6,2.0,0.9,135,1994,14,3,0,0,26,27
UFC Fight Night: Overeem vs. Volkov,Diego Ferreira,0.44,121,1,0,Beneil Dariush,0.53,116,15,5,"Las Vegas, Nevada, USA",3,3,Lightweight,0,S-DEC,2021,3.38,4.7,175.26,74.0,Orthodox,0.37,0.56,0.8,0.24,0.81,0.66,155,1985,17,4,0,0,2.58,3.8,177.8,72.0,Southpaw,0.49,0.58,1.0,0.34,2.11,0.81,155,1989,21,4,1,0,36,32
UFC Fight Night: Overeem vs. Volkov,Alexandre Pantoja,0.49,149,1,0,Manel Kape,0.53,91,7,2,"Las Vegas, Nevada, USA",3,3,Flyweight,1,U-DEC,2021,3.34,4.24,165.1,67.0,Orthodox,0.48,0.55,1.1,0.38,1.26,0.67,125,1990,24,5,0,0,4.23,3.71,165.1,68.0,Southpaw,0.47,0.49,0.0,0.28,0.86,0.8,125,1993,16,6,0,0,31,28
UFC Fight Night: Overeem vs. Volkov,Michael Johnson,0.46,126,0,0,Clay Guida,0.55,89,7,3,"Las Vegas, Nevada, USA",3,3,Lightweight,0,U-DEC,2021,3.82,4.21,177.8,73.0,Southpaw,0.38,0.58,0.1,0.45,0.49,0.77,155,1986,20,17,0,0,2.71,2.53,170.18,70.0,Orthodox,0.34,0.62,0.7,0.38,3.24,0.68,155,1981,36,18,0,0,35,40
UFC 257: Poirier vs. McGregor,Zhalgas Zhumagulov,0.4,169,3,2,Amir Albazi,0.44,132,3,1,"Abu Dhabi, Abu Dhabi, United Arab Emirates",3,3,Flyweight,0,U-DEC,2021,4.09,4.21,162.56,66.0,Switch,0.49,0.6,0.5,0.21,1.4,0.5,125,1988,14,5,0,0,3.15,4.06,165.1,68.0,Orthodox,0.4,0.58,0.8,0.75,2.28,0.66,125,1993,14,1,0,0,33,28
UFC 257: Poirier vs. McGregor,Nik Lentz,0.36,127,5,1,Movsar Evloev,0.48,170,2,2,"Abu Dhabi, Abu Dhabi, United Arab Emirates",3,3,Catch Weight,0,S-DEC,2021,3.25,3.44,172.72,68.0,Orthodox,0.47,0.5,1.2,0.32,3.3,0.43,145,1984,30,12,2,1,2.79,4.32,170.18,72.0,Orthodox,0.44,0.63,0.4,0.47,4.0,0.71,145,1994,15,0,0,0,37,27
UFC Fight Night: Overeem vs. Volkov,Cory Sandhagen,0.4,5,0,0,Frankie Edgar,0.66,3,0,0,"Las Vegas, Nevada, USA",3,1,Bantamweight,1,KO/TKO,2021,4.05,6.32,180.34,70.0,Switch,0.47,0.59,0.6,0.44,0.74,0.65,135,1992,14,3,0,0,2.71,3.7,167.64000000000001,68.0,Orthodox,0.39,0.66,0.3,0.31,2.28,0.65,135,1981,23,9,1,0,29,40
UFC Fight Night: Overeem vs. Volkov,Alexander Volkov,0.5,20,1,0,Alistair Overeem,0.61,88,0,0,"Las Vegas, Nevada, USA",5,2,Heavyweight,1,KO/TKO,2021,2.88,4.84,200.66,80.0,Orthodox,0.57,0.54,0.2,0.7,0.57,0.67,250,1988,33,9,0,0,2.44,3.67,193.04,80.0,Orthodox,0.64,0.57,0.8,0.55,1.42,0.73,265,1980,47,19,0,1,33,41
UFC 257: Poirier vs. McGregor,Khalil Rountree Jr.,0.33,148,0,0,Marcin Prachnio,0.47,216,2,0,"Abu Dhabi, Abu Dhabi, United Arab Emirates",3,3,Light Heavyweight,0,U-DEC,2021,3.58,3.24,185.42,76.0,Southpaw,0.38,0.49,0.2,0.0,0.0,0.5,205,1990,10,5,0,1,4.1,6.28,190.5,74.0,Orthodox,0.51,0.57,0.0,0.0,0.0,0.0,205,1988,15,5,0,0,31,33
UFC 257: Poirier vs. McGregor,Sara McMann,0.5,76,1,1,Julianna Pena,0.38,54,3,3,"Abu Dhabi, Abu Dhabi, United Arab Emirates",3,3,Women's Bantamweight,0,SUB,2021,1.94,2.32,167.64000000000001,66.0,Orthodox,0.45,0.48,0.5,0.65,4.41,0.5,135,1980,12,6,0,0,1.7,2.8,167.64000000000001,69.0,Orthodox,0.47,0.53,0.8,0.53,2.49,0.23,135,1989,11,4,0,0,41,32
UFC 257: Poirier vs. McGregor,Brad Tavares,0.5,108,0,0,Antonio Carlos Junior,0.33,103,12,1,"Abu Dhabi, Abu Dhabi, United Arab Emirates",3,3,Middleweight,1,U-DEC,2021,2.76,3.18,185.42,74.0,Orthodox,0.42,0.57,0.0,0.27,0.91,0.79,185,1987,19,7,0,0,2.14,1.95,187.96,79.0,Orthodox,0.42,0.52,0.8,0.39,3.42,0.53,185,1990,11,5,0,1,34,31
UFC 257: Poirier vs. McGregor,Andrew Sanchez,0.34,141,2,0,Makhmud Muradov,0.45,174,2,0,"Abu Dhabi, Abu Dhabi, United Arab Emirates",3,3,Middleweight,0,KO/TKO,2021,5.05,4.48,185.42,74.0,Orthodox,0.42,0.51,0.0,0.31,1.92,1.0,185,1988,13,6,0,0,3.17,5.39,187.96,75.0,Orthodox,0.42,0.61,0.3,0.16,0.31,0.8,185,1990,25,7,0,0,33,31
UFC 257: Poirier vs. McGregor,Arman Tsarukyan,0.48,103,12,10,Matt Frevola,0.28,57,2,0,"Abu Dhabi, Abu Dhabi, United Arab Emirates",3,3,Lightweight,1,U-DEC,2021,1.43,3.35,170.18,72.0,Orthodox,0.44,0.62,0.0,0.35,3.5,0.78,155,1996,16,2,0,0,3.49,2.73,175.26,71.0,Orthodox,0.37,0.58,1.1,0.37,2.58,0.4,155,1990,8,3,1,0,25,31
UFC 257: Poirier vs. McGregor,Amanda Ribas,0.41,36,0,0,Marina Rodriguez,0.3,23,1,1,"Abu Dhabi, Abu Dhabi, United Arab Emirates",3,2,Women's Strawweight,0,KO/TKO,2021,1.78,4.25,160.02,66.0,Orthodox,0.44,0.71,1.6,0.58,2.31,0.85,125,1993,10,2,0,0,3.24,4.89,167.64000000000001,65.0,Orthodox,0.48,0.54,0.1,0.33,0.28,0.62,115,1987,14,1,2,0,28,34
UFC 257: Poirier vs. McGregor,Dan Hooker,0.42,19,0,0,Michael Chandler,0.7,24,0,0,"Abu Dhabi, Abu Dhabi, United Arab Emirates",3,1,Lightweight,0,KO/TKO,2021,4.92,4.95,182.88,75.0,Switch,0.48,0.51,0.3,0.34,0.72,0.79,155,1990,20,10,0,0,3.87,4.49,172.72,71.0,Orthodox,0.5,0.49,1.6,0.41,2.03,0.71,155,1986,22,6,0,0,31,35
UFC 257: Poirier vs. McGregor,Jessica Eye,0.44,173,4,1,Joanne Calderwood,0.61,240,3,1,"Abu Dhabi, Abu Dhabi, United Arab Emirates",3,3,Women's Flyweight,0,U-DEC,2021,4.19,3.96,167.64000000000001,66.0,Orthodox,0.36,0.56,0.5,0.44,0.55,0.57,125,1986,15,10,0,1,4.5,6.75,167.64000000000001,65.0,Orthodox,0.5,0.52,0.4,0.55,1.62,0.63,125,1985,15,6,0,0,35,36
UFC 257: Poirier vs. McGregor,Dustin Poirier,0.52,91,1,1,Conor McGregor,0.43,66,1,0,"Abu Dhabi, Abu Dhabi, United Arab Emirates",5,2,Lightweight,1,KO/TKO,2021,4.19,5.62,175.26,72.0,Southpaw,0.5,0.54,1.2,0.36,1.5,0.61,155,1989,28,6,0,1,4.66,5.32,175.26,74.0,Southpaw,0.49,0.54,0.1,0.55,0.67,0.66,155,1988,22,6,0,0,32,33
